18,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,1,['sxsw'],[],False,"['must', 'app']"
19,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,1,['sxsw'],[],False,"['need', 'buy', 'ipad', 'im', 'austin', 'sure', 'ill', 'need', 'q', 'austin', 'apple', 'store']"
20,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",1,['sxsw'],[],True,"['oh', 'god', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']"
21,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",1,"['android', 'sxsw']",[],True,"['okay', 'really', 'yay', 'new', 'app', 'kthxbai']"
22,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",1,['sxsw'],[],False,"['photo', 'installed', 'iphone', 'app', 'really', 'nice']"
23,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,1,['sxsw'],[],False,"['really', 'enjoying', 'change', 'gowalla', 'android', 'looking', 'forward', 'seeing', 'else', 'foursquare', 'sleeve']"
24,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",1,"['smc', 'dallas', 'sxsw', 'ipad', 'chevysmc']",[],False,[]
25,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",1,"['holler', 'gram', 'sxsw']",[],False,[]
26,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",1,"['austin', 'sxsw']",[],False,"['someone', 'started', 'group', 'google', 'group', 'pre', 'great', 'idea']"
27,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,1,"['4sq3', 'sxsw', 'keep', 'austin', 'weird']",[],False,"['new', 'look', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight']"
28,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",1,"['android', 'sxsw']",[],False,"['right', 'app', 'sweeeeet', 'nice', 'job', 'team']"
29,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),1,"['holler', 'gram', 'sxsw']",[],False,"['smart', 'ipad', 'app', 'may', 'leave', 'vuvuzela', 'home']"
30,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,1,"['sxsw', 'hollergram']",[],False,"['must', 'app', 'ipad', 'going']"
31,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",0,"['sxsw', 'gdgt', 'live']",[],False,"['attn', 'frineds', 'register', 'see', 'cobra', 'iradar', 'android', 'link']"
32,Anyone at  #sxsw want to sell their old iPad?,0,['sxsw'],[],False,"['anyone', 'want', 'sell', 'old', 'ipad']"
33,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,0,['sxsw'],[],False,"['anyone', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']"
34,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",0,['sxsw'],[],False,['oooh']
35,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,1,"['ipad2', 'sxsw', 'event', 'profs', 'pcma', 'engage365']",[],False,['best']
36,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,0,"['itunes', 'sxsw']",[],False,"['spin', 'play', 'new', 'concept', 'music', 'discovery', 'ipad', 'spincom', 'link']"
37,@mention  - False Alarm: Google Circles Not Coming Now   and Probably Not Ever? - {link} #Google #Circles #Social #SXSW,-1,"['google', 'circles', 'social', 'sxsw']",[],False,"['false', 'alarm', 'google', 'circle', 'coming', 'probably', 'ever', 'link']"
38,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,0,['sxsw'],[],False,"['vatornews', 'google', 'apple', 'force', 'print', 'medium', 'evolve', 'link']"
39,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,1,['sxsw'],[],True,"['great', 'weather', 'greet', 'still', 'need', 'sweater', 'night', 'apple', 'putting', 'flash', 'store', 'downtown', 'sell', 'ipad']"
40,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you  re getting friend... {link}",0,['sxsw'],[],True,"['hootsuite', 'hootsuite', 'mobile', 'update', 'iphone', 'blackberry', 'android', 'whether', 'getting', 'friend', 'link']"
41,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and we  ll make you one!,0,"['sxsw', 'zazzlesxsw']",[],False,"['hey', 'long', 'think', 'take', 'u', 'make', 'iphone', 'case', 'answer', 'using', 'make', 'one']"
42,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},0,"['ipad', 'sxsw', 'gadgets']",[],False,"['mashable', 'ipad', 'take', 'sxsw', 'video', 'link']"
43,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},0,"['ubersocial', 'iphone', 'sxsw']",[],True,['ipad']
44,Hand-Held    Hobo  : Drafthouse launches    Hobo With a Shotgun   iPhone app #SXSW {link},1,['sxsw'],[],False,"['handheld', 'hobo', 'drafthouse', 'launch', 'hobo', 'shotgun', 'iphone', 'app', 'link']"
45,HOORAY RT    @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},1,['sxsw'],[],False,['hooray']
46,Orly....?    @mention Google set to launch new social network #Circles today at #sxsw  ,0,"['circles', 'sxsw']",[],True,"['orly', 'google', 'set', 'launch', 'new', 'social', 'network', 'today']"
47,wooooo!!!    @mention Apple store downtown Austin open til Midnight. #sxsw  ,1,['sxsw'],[],True,"['wooooo', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight']"
48,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,0,['sxsw'],[],False,"['khoi', 'vinh', 'say', 'conde', 'nasts', 'headlong', 'rush', 'ipad', 'publishing', 'wa', 'fundamental', 'misunderstanding', 'platform']"
49,"   @mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",0,"['libya', 'sxsw']",[],False,"['link', 'help', 'forward', 'doc', 'anonymous', 'account', 'techie', 'ppl', 'help', 'u', 'jam']"
50,    WHAT?   _ {link}   _ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,0,"['edchat', 'musedchat', 'sxs', 'w', 'sxswi', 'classical', 'new', 'twitter']",[],False,['link']
51,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",0,['sxsw'],[],False,"['locationbased', 'fast', 'fun', 'future', 'link', 'via']"
52,   @mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw   @mention,0,"['google', 'sxsw']",[],False,"['connect', 'digital', 'physical', 'world', 'mobile', 'link']"
53,   @mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw  ,1,"['better', 'cloud', 'sxsw']",[],False,"['talking', 'link', 'googles', 'effort', 'allow', 'user', 'open', 'system']"
54,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",0,"['911tweets', 'sxsw']",[],False,['link']
55,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,1,"['sxsw', 'chaos']",[],False,['link']
56,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},0,['sxsw'],[],False,['link']
57,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},0,"['google', 'sxsw']",[],False,"['fun', 'pic', 'link']"
58,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,0,"['books', 'internet', 'apple', 'sxsw']",[],False,"['via', 'link', 'guy', 'kawasaki', 'talk', 'enchanted', 'sxsw', 'know', 'stuff']"
59,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",0,"['future', 'mf', 'sxsw']",[],False,"['link', 'spec', 'recipe', 'web', 'google', 'search', 'link']"
60,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",0,"['smile', 'sxsw']",[],True,[]
61,Again? RT @mention Line at the Apple store is insane.. #sxsw,-1,['sxsw'],[],True,[]
62,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,0,['sxsw'],[],True,['agree']
63,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,0,['sxsw'],[],False,"['wanna', 'buy', 'drink', 'pm', 'fado', 'th', 'link', 'join', 'u']"
64,attending @mention iPad design headaches #sxsw {link},-1,['sxsw'],[],False,"['attending', 'ipad', 'design', 'headache', 'link']"
65,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",-1,['sxsw'],[],False,['boooo']
66,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},1,"['sxswi', 'sxsw']",[],False,"['check', 'line', 'ipad', 'austin', 'power', 'link']"
67,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,0,"['google', 'pnid', 'sxsw']",[],False,['check']
68,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,0,['sxsw'],[],False,"['chilcott', 'stand', 'talking', 'blogger', 'staff', 'late', 'win', 'competition', 'best', 'tweet', 'mentioning', 'tshirt']"
69,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",1,['sxsw'],[],False,[]
70,Gowalla's @mention promises to launch Foursquare check-in   Groupon rewards-type service at #SXSW. Finger's crossed. {link},0,['sxsw'],[],False,"['gowallas', 'promise', 'launch', 'foursquare', 'checkin', 'groupon', 'rewardstype', 'service', 'fingers', 'crossed', 'link']"
71,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",0,['sxsw'],[],False,['haha']
72,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,1,['sxsw'],[],False,['holla']
73,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,1,"['sxsw', 'fail']",[],False,"['love', 'iphone', 'case', 'cant', 'get', 'phone']"
74,I worship @mention {link} #SXSW,0,['sxsw'],[],False,"['worship', 'link']"
75,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",0,"['agnerd', 'sxsw']",[':)'],False,['ipad']
76,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",0,['sxsw'],[],False,['launching']
77,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,1,['sxsw'],[],False,"['new', 'post', 'iphone', 'app', 'make', 'easy', 'connect', 'social', 'network', 'people', 'meet', 'link']"
78,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,1,['sxsw'],[],False,"['nice', 'iphone', 'app', 'behaving', 'today', 'crash', 'yesterday', 'ridiculous']"
79,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,0,['sxsw'],[],False,['nice']
80,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",1,['sxsw'],[],True,['nice']
81,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",1,"['sxsw', 'sxwsi']",[],False,"['one', 'thing', 'great', 'get', 'great', 'earth', 'face', 'google', 'company', 'love']"
82,Stay tune @mention showcase #H4ckers {link} #SXSW,0,"['h4ckers', 'sxsw']",[],False,"['stay', 'tune', 'showcase', 'link']"
83,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},0,"['touching', 'stories', 'sxsw']",[],False,"['thank', 'preso', 'heres', 'deck', 'link']"
84,Thank you @mention for an awesome #sxsw party! {link},0,['sxsw'],[],False,"['thank', 'awesome', 'party', 'link']"
85,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",0,"['japan', 'sxsw']",[],False,['thanks']
86,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,1,"['speech', 'sxsw', 'sxswh', 'sxsh']",[],False,"['thanks', 'mention', 'new', 'ipad', 'apps', 'showcased', 'conf', 'link']"
87,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,0,"['sxswi', 'sxsw', 'sxswh', 'health']",[],False,"['thanks', 'publishing', 'news', 'new', 'medical', 'apps', 'conf', 'blog', 'link']"
88,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,-1,['sxsw'],[],True,"['doe', 'provide', 'iphone', 'charger', 'ive', 'changed', 'mind', 'going', 'next', 'year']"
89,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,0,"['sxsw', 'ipad2']",[],False,"['wonder', 'apple', 'flashmob']"
90,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,0,"['sxsw', 'suxsw']",[],True,"['wonder', 'putting', 'tip', 'api']"
91,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",1,['sxsw'],[],True,['xmas']
92,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},1,"['ubersocial', 'iphone', 'sxsw']",[],True,['yai']
93,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",0,['sxsw'],[],True,['yes']
94,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",1,['sxsw'],[],False,"['fast', 'fun', 'future', 'google', 'presenting', 'search', 'local', 'mobile']"
95,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,0,"['sxsw', 'austin', 'welivehere', 'g', 'dm']",[],False,"['gsd', 'googles', 'industry', 'party', 'tonight', 'see', 'u', 'link']"
96,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",0,['sxsw'],[],False,"['new', 'buzz', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link', 'rt']"
97,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,1,"['ipad', 'sxsw', 'gad', 'get']",[],True,"['headline', 'musthave', 'gadget', 'hmm', 'could', 'seen', 'one', 'coming', 'link']"
98,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,-1,['sxsw'],[],False,"['know', 'quotataviz', 'translates', 'quotatanic', 'iphone', 'im', 'sayin']"
99,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",1,"['sxsw', 'bizzy']",[],False,"['google', 'launched', 'checkins', 'month', 'ago', 'check', 'ok', 'check', 'future']"
100,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",0,"['sxsw', 'bizzy']",[],False,"['google', 'launched', 'checkins', 'month', 'ago', 'check', 'ok', 'check', 'future', 'via']"
101,"   @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.  ",1,"['911tweets', 'sxsw']",[],False,"['google', 'tweet', 'new', 'think', 'speak', 'mark', 'belinsky', 'panel']"
102,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",0,"['better', 'search', 'sxsw']",[],False,"['attending', 'left', 'brain', 'search', 'google', 'right', 'brain', 'search', 'x', 'talking', 'future', 'search', 'engine']"
103,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",1,"['bawling', 'sxsw']",[],False,"['kawasaki', 'c', 'lewis', 'level', 'reasoning', 'apples', 'continued', 'existence', 'evidence', 'existence', 'god']"
104,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,0,"['sxsw', 'jwtatl', 'enchantment']",[],False,"['kawasaki', 'quotagemaker', 'saved', 'apple', 'oh', 'day']"
105,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,1,"['sxsw', 'jwtatl', 'enchantment']",[],False,"['kawasaki', 'quotagemaker', 'saved', 'apple', 'oh', 'day', 'via']"
106,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},1,"['android', 'teamandroid', 'sxsw']",[],False,"['spark', 'award', 'read', 'link']"
107,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",0,"['apple', 'sxsw']",[],False,"['unboxing', 'apple', 'store', 'sxsw', 'link']"
108,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",1,"['sxsw', 'apple', 'sxswi']",[],False,"['ipad', 'great', 'thought', 'w', 'japan', 'apac', 'region', 'dealing', 'w', 'earthquake', 'tsunami', 'trauma']"
109,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",0,"['sxsw', 'apple', 'marketing']",[],False,"['school', 'expert', 'sxsw', 'cnet', 'blog', 'link']"
110,"At #SXSW, #Apple schools the marketing experts - {link}",1,"['sxsw', 'apple']",[],False,"['school', 'marketing', 'expert', 'link']"
111,"At #SXSW, #Apple schools the marketing experts {link}",0,"['sxsw', 'apple']",[],False,"['school', 'marketing', 'expert', 'link']"
112,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",1,"['apple', 'sxsw']",[],False,"['temporary', 'store', 'def', 'tent', 'powerhouse', 'gym', 'link']"
113,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",1,"['apple', 'sxsw']",[],False,"['temporary', 'store', 'th', 'congress', 'along', 'happy', 'hipster']"
114,   @mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,1,"['apple', 'sxsw', 'ipad2']",[],False,"['win', 'link', 'opening', 'temporary', 'store', 'downtown', 'austin', 'support', 'launch', 'good']"
115,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",0,"['austin', 'sxsw']",[],False,"['headed', 'check', 'map', 'newbie', 'link', 'enjoy']"
116,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,0,"['austin', 'sxsw']",[],False,"['funny', 'trending', 'matter', 'minute', 'point', 'least', 'according', 'twitter', 'iphone']"
117,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,1,"['ipad', 'iphone', 'sxsw']",[],False,"['christian', 'devs', 'want', 'talk', 'u', 'maybe', 'wk', 'together', 'cool', 'app']"
118,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,1,"['ipad2', 'sxsw', 'austin', 'mobile']",[],True,"['apple', 'ha', 'taken', 'storm', 'link', 'excited', 'part']"
119,I can haz #iPad2 ifrom #SxSW Gr8 {link},1,"['ipad2', 'sxsw']",[],False,"['haz', 'ifrom', 'gr', 'link']"
120,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",1,"['ipad2', 'sxsw']",[],False,"['stack', 'waiting', 'bought', 'got', 'mine', 'hassle', 'apple', 'handled', 'perfectly', 'link']"
121,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",0,"['google', 'mobile', 'eurorscg', 'sxsw', 'sxswi']",[],False,"['future', 'elusive', 'power', 'link', 'via']"
122,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",0,"['atsxsw', 'sxsw']",[],False,"['heres', 'link', 'free', 'download', 'meet', 'nearby', 'pep']"
123,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,1,"['small', 'biz', 'seo', 'sxsw']",[],True,"['doe', 'need', 'review', 'play', 'google', 'place', 'got', 'app', 'link']"
124,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,0,"['small', 'biz', 'seo', 'sxsw']",[],True,"['doe', 'need', 'review', 'play', 'google', 'place', 'got', 'app', 'link']"
125,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",0,"['samsung', 'sony', 'apple', 'hp', 'austin', 'atx', 'sxsw']",[],False,"['follow', 'lead', 'link']"
126,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",0,"['samsung', 'sony', 'apple', 'hp', 'austin', 'atx', 'sxsw']",[],False,"['follow', 'lead', 'link', 'via', 'rg']"
127,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",1,['sxsw'],[],False,['take']
128,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",1,['sxsw'],[],False,"['beautiful', 'apple', 'store', 'sxsw', 'pic', 'link']"
129,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,0,"['sxsw', 'sxswi', 'pr20', 'chat']",[],False,"['q', 'wa', 'prep', 'amazing', 'pre', 'push', 'locally', 'focus', 'location', 'based', 'google', 'owns', 'region', 'billboard']"
130,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,0,['sxsw'],[],False,"['account', 'need', 'follow', 'apps', 'download', 'iphone']"
131,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,0,['sxsw'],[],False,"['headed', 'want', 'share', 'gather', 'contact', 'info', 'link', 'turn', 'iphone', 'business', 'card', 'broadcaster']"
132,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},0,['sxsw'],[],True,"['headed', 'want', 'share', 'gather', 'contact', 'info', 'link', 'turn', 'iphone', 'link']"
133,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,0,['sxsw'],[],False,"['btw', 'apple', 'store', 'sold', 'g', 'model', 'vzw']"
134,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},1,['sxsw'],[],False,"['must', 'app']"
