,hashtags,text,emotion
32,['sxsw'],"['handheld', 'hobo', 'drafthouse', 'launch', 'hobo', 'shotgun', 'iphone', 'app']",1.0
33,['sxsw'],"['hooray', 'apple', 'opening', 'popup', 'store', 'austin']",1.0
34,"['speech', 'sxsw', 'sxswh', 'sxsh']","['wooooo', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight']",1.0
35,['sxsw'],"['talking', 'googles', 'effort', 'allow', 'user', 'open', 'system']",1.0
36,"['911tweets', 'sxsw']","['st', 'stop', 'hunt', 'austin', 'java', 'get', 'spy', 'game', 'chance', 'win', 'ipad']",1.0
37,"['apple', 'sxsw']","['line', 'apple', 'store', 'insane']",-1.0
38,"['ipad', 'iphone', 'sxsw']","['attending', 'ipad', 'design', 'headache']",-1.0
39,"['ipad2', 'sxsw', 'austin', 'mobile']","['boooo', 'flipboard', 'developing', 'iphone', 'version', 'android', 'say']",-1.0
40,"['ipad2', 'sxsw']","['check', 'line', 'ipad', 'austin', 'power']",1.0
41,['sxsw'],"['come', 'party', 'w', 'google', 'tonight', 'band', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'map']",1.0
42,['sxsw'],"['holla', 'google', 'party', 'best', 'ever', 'get', 'butt']",1.0
43,['sxsw'],"['love', 'iphone', 'case', 'cant', 'get', 'phone']",1.0
44,"['sxsw', 'sxsw', 'sxsw']","['new', 'post', 'iphone', 'app', 'make', 'easy', 'connect', 'social', 'network', 'people', 'meet']",1.0
45,"['sxsw', 'iphone', 'lp', 'travel']","['nice', 'iphone', 'app', 'behaving', 'today', 'crash', 'yesterday', 'ridiculous']",1.0
46,['sxsw'],"['nice', 'hey', 'apple', 'fan', 'get', 'peek', 'space', 'thats', 'slated', 'popup', 'apple', 'store', 'tomorrow']",1.0
47,"['sxsw', 'ipad2']","['one', 'thing', 'great', 'get', 'great', 'earth', 'face', 'google', 'company', 'love']",1.0
48,"['sxsw', 'sxsw']","['thanks', 'mention', 'new', 'ipad', 'apps', 'showcased', 'conf']",1.0
49,"['ipad2', 'sxsw']","['doe', 'provide', 'iphone', 'charger', 'ive', 'changed', 'mind', 'going', 'next', 'year']",-1.0
50,['sxsw'],"['xmas', 'shiny', 'new', 'apps', 'new', 'book', 'popup', 'ipad', 'store', 'christmas', 'nerd']",1.0
51,"['ipad', 'sxsw']","['yai', 'new', 'app', 'store', 'includes', 'uberguide', 'sponsored', 'cont']",1.0
52,"['sxsw', 'sxswi']","['fast', 'fun', 'future', 'google', 'presenting', 'search', 'local', 'mobile']",1.0
53,['sxsw'],"['headline', 'musthave', 'gadget', 'hmm', 'could', 'seen', 'one', 'coming']",1.0
54,['sxsw'],"['know', 'dataviz', 'translates', 'satanic', 'iphone', 'im', 'sayin']",-1.0
55,"['google', 'circles', 'sxsw', 'socbiz', 'fb']","['google', 'launched', 'checkins', 'month', 'ago', 'check', 'ok', 'check', 'future']",1.0
56,"['apple', 'sxsw', 'ipad2']","['google', 'tweet', 'new', 'think', 'speak', 'mark', 'belinsky', 'panel']",1.0
57,['sxsw'],"['kawasaki', 'c', 'lewis', 'level', 'reasoning', 'apples', 'continued', 'existence', 'evidence', 'existence', 'god']",1.0
58,"['sxsw', 'dyac']","['kawasaki', 'pagemaker', 'saved', 'apple', 'oh', 'day', 'via']",1.0
59,['sxsw'],"['spark', 'award', 'read']",1.0
60,['sxsw'],"['ipad', 'great', 'thought', 'w', 'japan', 'apac', 'region', 'dealing', 'w', 'earthquake', 'tsunami', 'trauma']",1.0
61,['sxsw'],"['school', 'marketing', 'expert']",1.0
62,"['battery', 'killer', 'sxsw']","['temporary', 'store', 'def', 'tent', 'powerhouse', 'gym']",1.0
63,"['sxsw', 'score']","['temporary', 'store', 'th', 'congress', 'along', 'happy', 'hipster']",1.0
64,"['android', 'sxsw']","['win', 'opening', 'temporary', 'store', 'downtown', 'austin', 'support', 'launch', 'good']",1.0
65,"['sxsw', 'cnet']","['christian', 'devs', 'want', 'talk', 'u', 'maybe', 'wk', 'together', 'cool', 'app']",1.0
66,"['sxsw', 'cnet']","['apple', 'ha', 'taken', 'storm', 'excited', 'part']",1.0
67,['sxsw'],"['haz', 'ifrom', 'gr']",1.0
68,['sxsw'],"['stack', 's', 'waiting', 'bought', 'got', 'mine', 'hassle', 'apple', 'handled', 'perfectly']",1.0
69,['sxsw'],"['doe', 'need', 'review', 'play', 'google', 'place', 'got', 'app']",1.0
70,['sxsw'],"['take', 'major', 'south', 'korean', 'director', 'get', 'make', 'movie', 'entirely', 'iphone']",1.0
71,['sxsw'],"['beautiful', 'apple', 'store', 'sxsw', 'pic']",1.0
72,['sxsw'],"['must', 'app', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram']",1.0
73,"['ipad', 'sxsw']","['temporary', 'apple', 'store', 'apple', 'sneaky', 'usual']",1.0
74,['sxsw'],"['beta', 'testing', 'interactive', 'book', 'ipad', 'app', 'moonbot', 'studio', 'louisiana', 'cool', 'app']",1.0
75,['sxsw'],"['apple', 'day', 'one', 'seeing', 'ton']",1.0
76,['sxsw'],"['ipad', 'store', 'sold', 'everything', 'except', 'gig', 'wifi', 'white', 'manage', 'get']",1.0
77,['sxsw'],"['ipad', 'store', 'sold', 'everything', 'except', 'gig', 'wifi', 'white', 'also', 'known', 'white', 'jean', 'configuration']",1.0
78,"['sxsw', 'ipad', 'apple']","['offered', 'ipad', 'promo', 'ninjafinder', 'user', 'fan', 'suck']",1.0
79,"['agile', 'agency', 'sxsw']","['lonelyplanet', 'austin', 'guide', 'free', 'limited', 'time']",1.0
80,"['google', 'doodle', 'sxsw']","['apple', 'store', 'still', 'ha', 'ipad', 'short', 'line']",1.0
81,"['google', 'aclu', 'sxsw']","['left', 'tradeshow', 'demo', 'google', 'theatre', 'ok', 'get', 'see', 'presenter', 'using']",1.0
82,"['sxsw', 'apple']","['anyone', 'want', 'make', 'quick', 'hundred', 'dollar', 'new', 'ad', 'hoc', 'apple', 'store', 'get', 'hundred', 'plus', 'cost']",1.0
83,"['game', 'storming', 'sxsw']","['monday', 'barry', 'diller', 'new', 'york', 'time', 'congress', 'lunch', 'w', 'hotel', 'party', 'google', 'party', 'six', 'dirty', 'martini', 'monday']",1.0
84,"['winning', 'sxsw']","['seriously', 'testing', 'mobile', 'apps', 'constant', 'ipad', 'crash', 'causing', 'lost', 'schedule', 'sync', 'wp']",-1.0
85,"['sxsw', 'pr', 'ecommerce']","['ready', 'iphone', 'apps', 'make', 'ur', 'blogging', 'easier']",1.0
86,"['ipad', 'madness', 'sxsw']","['ipad', 'conflagration', 'doofusness']",-1.0
87,"['apple', 'sxsw']","['attention', 'ers', 'rumored', 'popup', 'temporary', 'apple', 'store', 'ipad', 'launch', 'need']",1.0
88,"['ie9', 'html5', 'sxsw']","['went', 'wa', 'lousy']",1.0
89,"['earth', 'hour', 'sxsw']",['picture'],1.0
90,['sxsw'],"['spent', 'come', 'sxsw', 'already', 'used', 'ipad', 'wait', 'couple', 'city', 'block']",-1.0
91,"['geek', 'date', 'apple', 'sxsw', 'ipad2']","['behind', 'email', 'give', 'line', 'iphone', 'composed', 'reply']",1.0
92,['sxsw'],"['like', 'pm', 'night', 'line', 'around', 'block', 'popup', 'apple', 'store', 'selling', 'ipad']",1.0
93,['sxsw'],"['im', 'ipad', 'seen', 'wild', 'people', 'say', 'fast', 'still', 'pic', 'terrible']",-1.0
94,"['apple', 'atxdt', 'sxsw']","['take', 'video']",1.0
95,"['ipad', 'sxsw', 'weekend', 'battle', 'la']","['many', 'ipad', 'snapping', 'away', 'keynote', 'slide']",1.0
96,"['tapworthy', 'sxsw']","['new', 'post', 'iphone', 'apps', 'well', 'using', 'south', 'southwest', 'interactive']",1.0
97,"['cnn', 'cnngrill', 'sxsw', 'sxswi']","['sweet', 'new', 'google', 'map', 'demo', 'going', 'ballroom']",1.0
98,['sxsw'],"['million', 'mile', 'per', 'day', 'driving', 'google', 'map', 'navigation']",1.0
99,"['apple', 'sxsw', 'ipad2', 'genius']","['band', 'want', 'share', 'track', 'audience', 'stage', 'use', 'frostwire', 'android', 'theres', 'wifi', 'available']",1.0
100,['sxsw'],"['u', 'iphone', 'need', 'caruse', 'zimride', 'etc', 'share', 'ride']",1.0
101,['sxsw'],"['picked', 'mophie', 'battery', 'case', 'iphone', 'prep', 'lugging', 'around', 'laptop', 'using', 'phone', 'wa', 'huge', 'win', 'last', 'year']",1.0
102,['sxsw'],"['rumor', 'monger', 'wa', 'good', 'read', 'preview', 'via']",1.0
103,"['apple', 'ipad2', 'sxsw', 'tc']","['hobo', 'shotgun', 'video', 'game', 'coming', 'ipad', 'iphone', 'user', 'yes', 'please']",1.0
104,"['apple', 'sxsw']","['build', 'store', 'le', 'hour', 'one', 'biggest', 'launch', 'companys', 'history', 'got']",1.0
105,"['apple', 'sxsw']","['read', 'sound', 'like', 'incredible', 'app', 'available', 'android', 'phone', 'yet']",1.0
106,"['sxsw', 'wp7']","['iphone', 'alarm', 'botch', 'timechange', 'many', 'ers', 'freak', 'late', 'flight', 'missed', 'panel', 'behind', 'bloody', 'mary']",-1.0
107,['sxsw'],"['shout', 'lady', 'holding', 'ipad', 'free', 'show', 'take', 'photo', 'sipping', 'free', 'beer', 'cc']",1.0
108,"['sxsw', 'ipad2']","['meant', 'also', 'wish', 'stupid', 'iphone']",-1.0
109,"['fb', 'sxsw']","['rumor', 'apple', 'store', 'opening', 'th', 'congress', 'sign', 'point', 'yes']",1.0
110,['sxsw'],"['picked', 'ipad', 'pop', 'apple', 'store', 'minute', 'wait']",1.0
111,"['sxsw', 'crowded']","['brilliant', 'enlightening', 'game', 'mechanic', 'presentation', 'google']",1.0
112,['sxsw'],"['marketing', 'sale', 'genius']",1.0
113,['sxsw'],"['need', 'ipad', 'iphone', 'laptop', 'dictaphone', 'vidcamera', 'wow', 'love', 'meet', 'real', 'cerebellum', 'charged', 'people']",1.0
114,['sxsw'],"['app', 'iphone', 'ridiculous', 'personal', 'planner', 'next', 'day']",1.0
115,"['sxsw', 'connected', 'tv']","['found', 'app', 'kyping', 'iphones', 'geolocation', 'releasing', 'background', 'need', 'patch']",-1.0
116,"['sxsw', 'connected', 'tv']","['app', 'iphone', 'live', 'rsvp', 'event', 'phone', 'check', 'sundayswaggereventbritecom']",1.0
117,"['austin', 'apple', 'sxsw', 'winning']","['love', 'app', 'awesome', 'must', 'see', 'app', 'bizzy']",1.0
118,"['sxsw', 'ground', 'link']","['course', 'apple', 'built', 'temp', 'store', 'austin', 'texas', 'understand', 'concept', 'corralling', 'cattle']",-1.0
119,"['apple', 'sxsw', 'ipad2']","['love', 'apple', 'let', 'something', 'like', 'retail', 'store', 'near', 'keep', 'away', 'opening', 'popup', 'store']",1.0
120,['sxsw'],"['surprise', 'apple', 'ha', 'opened', 'popup', 'store', 'austin', 'nerd', 'town', 'get', 'new']",1.0
121,"['sxsw', 'ipad']","['surprise', 'apple', 'ha', 'opened', 'popup', 'store', 'austin', 'nerd', 'town', 'get', 'new', 'ipads']",1.0
122,"['sxsw', 'lifeline', 'world']","['surprise', 'apple', 'ha', 'opened', 'popup', 'store', 'austin', 'nerd', 'town', 'get', 'new', 'ipads']",1.0
123,"['sxsw', 'techies', 'unite']","['apple', 'great', 'example', 'retail', 'store', 'layed', 'future', 'register', 'checkout', 'line']",1.0
124,['sxsw'],"['apple', 'opening', 'temporary', 'store', 'downtown', 'austin', 'ipad', 'launch']",1.0
125,"['power', 'matteam', 'sxsw', 'thanks']","['apple', 'opening', 'temporary', 'store', 'downtown', 'austin', 'ipad', 'launch', 'oh', 'yay', 'traffic']",-1.0
126,"['power', 'matt', 'team', 'sxsw', 'thanks']","['apple', 'popup', 'store', 'open', 'noon', 'ha', 'fresh', 'shipment', 'ipad', 'im', 'pretty', 'sure', 'im', 'going', 'get', 'one', 'finger', 'crossed']",1.0
127,"['sxsw', 'apple', 'ipad2']","['apple', 'save', 'sxsw', 'set', 'open', 'popup', 'store']",1.0
128,['sxsw'],"['apple', 'school', 'marketing', 'expert']",1.0
129,['sxsw'],"['apple', 'school', 'marketing', 'expert', 'via']",1.0
130,['sxsw'],"['apple', 'school', 'marketing', 'expert', 'via', 'true', 'love', 'loathe', 'one', 'doe', 'marketing', 'like']",1.0
131,['sxsw'],"['apple', 'school', 'marketing', 'expert', 'cnet']",1.0
132,['sxsw'],"['apple', 'school', 'marketing', 'expert', 'cnet', 'blog']",1.0
133,['sxsw'],"['apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'theres', 'still', 'time']",1.0
134,"['sxsw', 'frostwire']","['apple', 'store', 'mall', 'sunday', 'x', 'crowded', 'line', 'fake', 'need', 'fucking', 'dongle', 'genius', 'let']",-1.0
135,['sxsw'],"['makeshift', 'apple', 'store', 'th', 'congress', 'kidding', 'amazing']",1.0
136,['sxsw'],"['temporary', 'apple', 'store', 'sxsw', 'really', 'cool', 'ipad']",1.0
137,"['love', 'music', 'api', 'sxsw']","['temporary', 'apple', 'store', 'set', 'shit', 'temptation', 'going', 'control']",1.0
138,"['sxsw', 'sxswi']","['temporary', 'apple', 'store', 'open', 'pm', 'th', 'congress', 'line', 'already', 'growing', 'viewio', 'via']",1.0
139,"['sxsw', 'social', 'media', 'tech', 'ipad2', 'media']","['temporary', 'apple', 'store', 'block', 'office', 'cant', 'wait', 'see', 'line', 'tomorrow', 'photo', 'come']",1.0
140,['sxsw'],"['ipad', 'news', 'apps', 'last', 'year']",-1.0
141,"['sxsw', 'ipad2']","['iphone', 'apps', 'probably', 'need', 'use']",1.0
142,['sxsw'],"['million', 'mobile', 'google', 'map', 'user']",1.0
143,"['sxsw', 'accordion', 'damn', 'lucky']","['android', 'new', 'mobile', 'apps', 'using']",1.0
144,['sxsw'],"['ipad', 'apps', 'like', 'software', 'development', 'release', 'start', 'working', 'update']",1.0
145,['sxsw'],"['overheard', 'ipad', 'relaxing', 'computer', 'agreed']",1.0
146,"['sxsw', 'geeksrule']","['overheard', 'interactive', 'arg', 'hate', 'iphone', 'want', 'blackberry', 'back']",-1.0
147,['sxsw'],"['apple', 'come', 'cool', 'technology', 'ones', 'ever', 'heard', 'go', 'conference']",-1.0
148,['sxsw'],"['last', 'year', 'everbody', 'wa', 'talking', 'ipad', 'year', 'social', 'medium', 'driven', 'revolution', 'year', 'better']",1.0
149,['sxsw'],"['long', 'line', 'apple', 'pop', 'store', 'ipad', 'great', 'marketing', 'apple']",1.0
150,['sxsw'],"['google', 'people', 'work', 'people', 'rather', 'people', 'work']",1.0
151,['sxsw'],"['knackered', 'home', 'playing', 'ipad', 'updating', 'iphone', 'timeline', 'smashed', 'partytweets', 'cant', 'make', 'go', 'bed']",1.0
152,['sxsw'],"['overheard', 'mdw', 'ill', 'second', 'halfway', 'iphone', 'battery', 'already', 'even', 'boarded', 'plane']",-1.0
153,['sxsw'],"['sxsw', 'apple', 'school', 'marketing', 'expert']",1.0
154,['sxsw'],"['first', 'day', 'sxsw', 'fun', 'final', 'presentation', 'google', 'doodle']",1.0
155,,"['huge', 'line', 'store', 'crowd', 'tripping', 'get', 'new', 'ipad']",1.0
156,['sxsw'],"['ur', 'party', 'u']",1.0
157,"['sxsw', 'screen', 'future']","['laughed', 'ipad', 'spent', 'week', 'hauling', 'macbook', 'everywhere', 'really', 'want', 'ipad', 'shoulder', 'rub']",1.0
158,"['sxsw', 'sxswi']","['attendee', 'need', 'qr', 'code', 'reader', 'iphone', 'tweet', 'u', 'image', 'badge', 'first', 'get', 'optiscan', 'free']",1.0
159,['sxsw'],"['hey', 'attendee', 'hop', 'line', 'store', 'four', 'day', 'til', 'new', 'ipad', 'come']",1.0
160,['sxsw'],"['took', 'away', 'lego', 'pit', 'replaced', 'recharging', 'station', 'might', 'check', 'price', 'iphone', 'crap', 'samsung', 'android']",-1.0
161,['sxsw'],"['bad', 'apple', 'show', 'late', 'q', 'process', 'poopoos', 'idea', 'leaf', 'early', 'even', 'im', 'creative', 'busy']",-1.0
162,"['sxsw', 'wth']","['trying', 'balance', 'power', 'power', 'need', 'iphone', 'v', 'ipad', 'g', 'ipad', 'suck', 'quick', 'might', 'go', 'airplane', 'mode']",-1.0
163,['sxsw'],"['iphone', 'battery']",1.0
164,['sxsw'],"['iphone', 'battery', 'cant', 'keep', 'tweet', 'thanks', 'apple']",-1.0
165,['sxsw'],"['fun', 'watch', 'apple', 'opening', 'popup', 'store', 'austin', 'sxsw']",1.0
166,"['fanboy', 'sxsw']","['control', 'set', 'open', 'popup', 'shop', 'core', 'action', 'via', 'cc']",1.0
167,['sxsw'],"['celebrate', 'beauty', 'web', 'msft', 'launch', 'play', 'new', 'game', 'win', 'ipad']",1.0
168,"['ipad2', 'sxsw']","['best', 'thing', 'ive', 'heard', 'weekend', 'gave', 'ipad', 'money', 'relief', 'need', 'ipad']",-1.0
169,"['soundcloud', 'sxsw']","['ipad', 'better', 'time', 'improve']",1.0
170,"['wrong', 'sxsw']","['go', 'beyond', 'earth', 'hour', 'year', 'sharing', 'positive', 'action', 'world', 'download', 'iphone', 'app']",1.0
171,['sxsw'],"['google', 'v', 'bing', 'bing', 'ha', 'shot', 'success', 'w', 'structured', 'search', 'potentially', 'higher', 'margin', 'cpa', 'model', 'v']",-1.0
172,"['agnerd', 'dairy', 'sxsw', 'ag', 'chat']","['course', 'bing', 'result', 'good', 'googles']",1.0
173,"['ipad', 'tapworthy', 'design', 'flaws', 'sxswi', 'sxsw']","['impulsive', 'buy', 'friend', 'one', 'selling', 'st', 'gen', 'gb', 'g', 'ipad']",1.0
174,['sxsw'],"['buying', 'new', 'ipads']",1.0
175,['sxsw'],"['someones', 'buying', 'present', 'apple', 'opening', 'popup', 'store', 'austin']",1.0
176,['sxsw'],"['nice', 'find', 'rsqs']",1.0
177,['sxsw'],"['google', 'canadian', 'tuxedo', 'lose', 'hour']",1.0
178,"['check', 'ins', 'sxsw', 'pnid']","['exciting', 'wait', 'apple', 'opening', 'temporary', 'store', 'downtown', 'austin', 'ipad', 'launch']",1.0
179,"['sxsw', 'dfcb']","['great', 'certain', 'meeting', 'hello', 'holler', 'gram', 'new', 'ipad', 'app']",1.0
180,"['sxsw', 'circles']","['dont', 'miss', 'charles', 'chen', 'android', 'chromeos', 'access', 'sxsw', 'google', 'booth', 'exhibit', 'hall', 'pm']",1.0
181,"['tapworthy', 'sxsw']","['ipad', 'coming', 'guess', 'apples', 'pretty', 'desperate', 'give', 'attention']",-1.0
182,"['sxsw', 'tmsxsw']","['coming', 'sure', 'download', 'sxsw', 'go', 'app', 'ha', 'schedule', 'location', 'event']",1.0
183,['sxsw'],"['seriously', 'considering', 'leaving', 'macbook', 'pro', 'home', 'flying', 'solo', 'ipad', 'week', 'think', 'make', 'work']",1.0
184,"['android', 'sxsw']","['shipment', 'daily', 'follow', 'update', 'popup', 'apple', 'store', 'seems', 'popup', 'ipad']",-1.0
185,['sxsw'],"['four', 'day']",1.0
186,['sxsw'],"['iphone', 'dead', 'find', 'secret', 'batphone']",-1.0
187,"['usguys', 'sxsw']","['google', 'tv', 'demo', 'league', 'extraordinary', 'hacker', 'cool', 'stuff', 'like', 'web', 'apps', 'tv']",1.0
188,"['sxsw', 'marissa', 'meyer']","['best', 'ipad', 'design', 'big', 'chunky', 'element', 'generous', 'space', 'clarity', 'trump', 'density', 'tap', 'quality', 'trump', 'tap', 'quantity']",1.0
189,"['thank', 'econ', 'sxsw']","['attending', 'designing', 'ipad', 'interface', 'new', 'navigation', 'schema', 'w', 'great', 'stuff', 'far']",1.0
190,['sxsw'],"['lovin', 'digital', 'band', 'sings', 'iphone', 'play', 'guitar', 'app', 'fan', 'record', 'vids', 'ipad', 'digital']",1.0
191,['sxsw'],"['barry', 'diller', 'think', 'ipad', 'content', 'nut']",-1.0
192,['sxsw'],"['really', 'need', 'another', 'big', 'social', 'network', 'right', 'thanks']",1.0
193,['sxsw'],"['japan', 'docomo', 'introduced', 'mobile', 'apps', 'six', 'year', 'apple', 'came', 'app', 'store']",-1.0
194,['sxsw'],"['jeez', 'guy', 'dunno', 'apple', 'popup', 'golds', 'gym', 'u', 'realize', 'unjobsaesthetic']",-1.0
195,"['sxsw', 'sxtxstate', 'photo']","['even', 'begin', 'win']",1.0
196,['sxsw'],"['even', 'begin', 'win']",1.0
197,"['sxsw', 'google']","['even', 'begin', 'win', 'opening', 'temporary', 'store', 'downtown', 'austin', 'support', 'launch']",1.0
198,['sxsw'],"['even', 'begin', 'apple', 'win', 'techcrunch']",1.0
199,"['apple', 'sxsw']","['even', 'begin', 'apple', 'win']",1.0
200,"['geek', 'sxsw']","['even', 'begin', 'apple', 'win']",1.0
201,"['kobo', 'ts', 'geogames', 'sxsw', 'tm', 'sxsw']","['even', 'begin', 'apple', 'win']",1.0
202,['sxsw'],"['even', 'begin', 'apple', 'win']",1.0
203,['sxsw'],"['even', 'begin', 'apple', 'win', 'via']",1.0
204,"['sxsw', 'emc']","['even', 'begin', 'apple', 'win']",1.0
205,['sxsw'],"['even', 'begin', 'apple', 'win', 'via']",1.0
206,"['sxsw', 'qagb']","['even', 'begin', 'apple', 'win', 'gonna', 'get', 'sum', 'via']",1.0
207,"['sxswmoot', 'sxsw']","['even', 'begin', 'apple', 'win', 'sxsw', 'techcrunch']",1.0
208,['sxsw'],"['even', 'begin', 'apple', 'win', 'sxsw', 'win', 'big']",1.0
209,['sxsw'],"['even', 'begin', 'apple', 'win', 'sxsw']",1.0
210,['sxsw'],"['even', 'begin', 'apple', 'win', 'sxsw']",1.0
211,"['good', 'deed', 'sxsw', 'winning']","['even', 'begin', 'apple', 'win', 'sxsw']",1.0
212,['sxsw'],"['even', 'begin', 'apple', 'win', 'sxsw']",1.0
213,['sxsw'],"['even', 'begin', 'apple', 'win', 'sxsw', 'via']",1.0
214,['sxsw'],"['even', 'begin', 'apple', 'win', 'sxsw', 'via']",1.0
215,"['ipad', 'sxsw']","['badgeless', 'event', 'free', 'drink', 'heading', 'free', 'googlesponsored', 'happy', 'hour', 'semantic', 'web', 'austin', 'fogo', 'de', 'ch']",1.0
216,['sxsw'],"['best', 'swag', 'ever', 'thanks', 'charging', 'iphone', 'thanks']",1.0
217,"['sxsw', 'sxfl']","['timing', 'everything', 'ipad', 'brand', 'winner', 'sxsw']",1.0
218,"['sxsw', 'mosaicxm']","['hey', 'exhibitor', 'capture', 'booth', 'experience', 'retrollect', 'disc', 'popular', 'disc', 'win', 'ipad']",1.0
219,"['sxsw', 'outbrain', 'ipad', 'groupme']","['photo', 'far', 'best', 'accessory', 'ipad', 'followed', 'closely', 'margarita']",1.0
220,['sxsw'],"['one', 'fav', 'photo', 'far']",1.0
221,"['sxsw', 'work', 'nottheipad2']","['think', 'fell', 'bit', 'love', 'today', 'thanks', 'throwing', 'nerd', 'party', 'speakeasy']",1.0
222,"['android', 'bizzy', 'sxsw']","['way', 'figure', 'ipad', 'good', 'replacement', 'making', 'year']",1.0
223,['sxsw'],"['need', 'find', 'better', 'stream', 'follow', 'inane', 'ipad', 'tweet', 'surely', 'southby']",-1.0
224,['sxsw'],"['find', 'hottest', 'spot', 'w', 'hot', 'spot', 'app', 'iphone']",1.0
225,['sxsw'],"['google', 'focusing', 'bridging', 'digital', 'physical', 'divide', 'eg', 'map', 'streetview', 'hotpot', 'autonomous', 'driving']",1.0
226,"['sxsw', 'ipad2']","['hey', 'folk', 'please', 'keep', 'u', 'posted', 'google', 'hope', 'blast']",1.0
227,['sxsw'],"['good', 'news', 'austinbound', 'apple', 'fanboys']",1.0
228,"['sxswi', 'sxsw']","['wish', 'list', 'tech', 'google', 'apps', 'help', 'level', 'playing', 'field', 'kid', 'may', 'software', 'home']",1.0
