,Unnamed: 0,text,emotion
16523,34378,I'm sick of Bears fans that slander the Packers just to slander the Packers. We've been their bitch for 2 decades now man c'mon ,-1
1768,47196,"@user After 68 years, 5milln remain in care #UnitedNations! Be more peaceful & productive for all #Nations to give their home back! ",1
5357,46749,Christopher Bollyn page #911 #falseflag #mossad #israel #gaza #palestine #israel #BDS ,1
19912,51599,"Donald duck ,I mean to say,not my President. He's a hippocrite.He don't believe in Jesus,and he's a perpetrator.Wise up electoral college ",-1
3818,4698,Tracy McGrady arrived in China on Wed after signing with Qingdao Eagles. His arrival at the airport was crazy - ,1
18934,48854,I 'flew' around the neighborhood I grew up in on Google Earth VR and now all my childhood memories are distorted. ,-1
4805,7612,Thinkin about wearing my one direction nirvana shirt (courtesy of @user tomorrow but also I dont want to be made fun of just yet ,1
20508,53099,"It was to teach security, Stupid leftists, pray tell if they ever sell ""international"" on ebay, friggen  lib morons. ",-1
14628,21979,@user yes I am. Coz for me when Henry\u002c Pires & others left & also Cesc may be\u002c were more sad than this RVP! But do u think he\u2019s leaving? ,-1
16171,31943,"MSA is having a Poo-Poo kind of day!  :(  If you are experiencing trouble with the site, I apologize.  We may be... ",-1
1954,42875,"Me: What's the date? Bank teller: The 4th.  Me: Oh right, duh, it's Beyonce's birthday today.  Bank teller: ..... ",1
12397,7636,Physics tomorrow is going to be a shit show ,-1
13641,15718,"@user it's a disgrace that the game came out in japan on 28th March smh,naruto games come out within a week worldwide ",-1
8762,30854,even more desperate than during summer oracle's event when i failed to get my 2nd copy of sandcastle girl and ended up with UR summer oracle ,1
15633,28634,Weird music mood today . Lots of Hank Williams and Johnny Cash running through the iphone. ,-1
18497,46729,"Ethnic cleansing is morally wrong and illegal, no matter who is perpetrating it. #IsraeliApartheid #Palestine #BDShttps://t.co/RXe8t1uYIL ",-1
11929,4805,Chuck Norris was born of the Greek gods Ares and Hermes in a grand session of buttsecks that may never be equaled. ,-1
21836,56514,"Protest Trump laterProtest Obama nowDAPL is funded by prolific Dem DonorsDAPL will accelerate ClimateChange, is… ",-1
15848,29911,"@user FFS. He's probably sat crying in to his Real Madrid shirt with ""Samba 9"" on the back asking where it all went wrong. ",-1
18277,45523,#Barca's win at #Celtic cannot hide problems with summer recruits!! #FCBarcelona #fcblive #ForcaBarca ,-1
22201,58257,"Can't believe I left my charger at Tia's. I have just under 50% until tomorrow, so in living on my IPod. You can only contact me via Twitter ",-1
2899,6581,Tomorrow is the ELVIS EXTRAVAGANZA! Tune in to 97.1FM at 11am for all the Elvis Presley you can handle.  It's gonna be rockin'. ,1
16706,35495,Magic Mike XXL is probably the single cringiest film I've ever sat through at the cinema. ,-1
2084,37312,"On the ball, @user 2 emails today announcing that Clarkson, Hammond and May are to make a series about cars for Amazon Prime! Who knew? ",1
7000,15921,Why Joe Biden may well be a great candidate for SMBs--if he'll run of course: @user ,1
5128,5726,#swagcorner at the Showdown 2012 FINAL SHOWDOWN | 4 July 2012 @ KL LIVE ,1
22172,58085,Jeb Bush is an utter failure Should drop out now as he is in 10th place ,-1
10610,7991,Is it true that top Ad agencies have decided not to give business to Times of India for their undue coverage to Yakub on 31 July? ,1
6242,2116,I'm at work for 14.5 hours tomorrow lmao someone make me go to bed and stop reading articles about nicki ,1
10357,36231,sooo I'll be seeing Thomas Rhett tomorrow night. Eric Church the following night ,1
21476,55457,Car and Driver | Self-driving cars will soon roam the dilapidated grounds... ,-1
8244,59157,@user w assalaam. It was my 1st Eid away from family. I hope you had a nice Eid and all family are good. Happy Eid to you too. Thanks ,1
14209,19191,Silent House may be full of stupid choices that might make you stop caring\u002c but it\u2019s highly effective at building... ,-1
18899,48702,"@user While I respect your commitment to diversified coverage, CNN's lack of reporting on the Dakota Access Pipeline is shameful. ",-1
411,15150,@user see you tomorrow in Port Charles hope you\u2019re enjoying Big Brother :) ,1
5981,28819,"@user @user Wed Nite salutes Industry Employees, Thanks """"LAX""""always appreciate when those who make our biz tick are thanked ",1
9702,18992,@user I think @user and I were talking about Saturday how cool it would be to perform Bebop songs with Yoko Kanno in attendance. ,1
16954,37084,"An octogenarian Motilal Vora with his droop and hunchback walking behind Rahul Gandhi may be a disgusting sight for some, but it pays. ",-1
1532,58123,Yes! I always wanted to know the meaning of Seth Rollins tattoo.  ,1
398,7967,@user TrueTriz said they may be a n update for Minecraft today but it isn't out yet. Have you got any ideas? ,1
3874,4878,@user Morgan may be next face of US women's soccer: They just didn't know who her opponent w... Youth Soccer ,1
14749,22812,Dana White gonna wake up tomorrow morning thinking he got super drunk because his bank account is half a billion dollars lighter #UFC193 ,-1
18524,46895,#TheWalkingDead S7 is not very addictive. ,-1
12454,8077,@user dead ass this like the 3rd time I'm  still Gucci gang ,-1
5227,16602,"Fans of Theresa May shop at Topman and enjoy Jim Davidson, as do fans of George Osborne, who also really like the movie The Interview. ",1
15540,28043,"Irritates me Gay males aren't allowed to donate blood, but a transgender woman can, or anyone else who may of had sex with a gay/bi man can. ",-1
14575,21646,One of pop music's ugliest feuds kicked off at the MTV Video Music Awards in Los Angeles on Sunday when Nicki... ,-1
6907,54883,Each of us has a vision of good and of evil. We have to encourage pe... #PopeFrancis #aphorisms ,1
6491,47229,"#UN #UnitedNations: Security en #Mexico Must be Handled by Civilians, not the Army ",1
499,23745,"@user @user my 13 yr old cousin didnt know Ice Cube was a rapper...just an ""superstar actor""  from the Friday movies lol ",1
1184,4190,@user Dutch Uncles obviously \u2019crept up on you\u2019 more than u realise \u2019Dutch Uncles\u2019 LP on Tapete pre dated Cadenza... are on 3rd now! ,1
2578,18195,So\u002c I just sat through UNITED 93. I\u2019m not sure about how I feel about much of what I saw. I\u2019ll need some time to process. ,1
5667,37350,i want dunkin tomorrow morning lol ,1
18287,45700,"Has #Obama ever apologized for the terrorists, and racists whom he's embraced? #Hamas #BLM #CAIR #NOI #MuslimBrotherhood, to name a few!🤔🙄 ",-1
2939,11666,"#music Country Joe &amp; the Fish 1st print Bob Masse poster BG,FD,AOR,Grateful Dead ",1
3440,27754,Vikings make sure you wear red tomorrow to show your Viking pride also at the game as well ,1
1704,1340,@user just bought tickets for Milan! can't wait to see you in April! love you so much xoxoxoxo ,1
16654,35164,@user I\u2019m in Hawaii at the moment. Home next Friday night. Don\u2019t want to come home. ,-1
19749,51319,Can Dems take off their blinders abt Obama?He lets the state brutalize & evict First Americans so Dem Donors can a… ,-1
13900,17267,olympics: David Owen: Why British Olympic sport may miss a man it should have made ... - (bl... ,-1
9127,4490,@user @user I can get up for that. @user you gotta get Andy Lee the shirt before Thursday's game ,1
7235,52496,Dont get so distracted by 'gun control' gorilla U miss mental health issues “Sandy Hook Promise release PSA” ,1
18706,47956,"He sat on his ass and watched the world burn for eight yrs, payoff is a house worth 7 times what salary he made in… ",-1
20659,53378,so fidel castro has died. when will maduro ever ,-1
17078,37858,This dude from Jerusalem say he can\u2019t take a test Thursday b/c holloween Wednesday&he\u2019s gonna have a hang over #purehonesty ,-1
9583,17288,Wearing an Iron Maiden shirt from the 7th grade because I don't have anything else thats clean nice ,1
8944,50184,"Now Playing, Minutemen — Bob Dylan Wrote Propaganda Songs from What Makes a Man Start Fires? #music #Rock ",1
10844,56319,@user @user @user scum politicians on both sides signed bills like nafta & were ready to implement tpp which was worse ,1
20543,53143,These people are clutching their pearls over leftists hoping for Steven Woolfe's death. ,-1
19373,50301,brexit Nail No 1.Trump Nail No 2. Renzi Nail No 3 GET THE PICTURE European union empire Decline.dont get me angry ,-1
3350,21702,Cops are closing in on the guys who robbed Chris Brown's home in July and it appears they have gang affiliations. ,1
14547,21427,My lips are chapped\u002c my ovaries hurt\u002c and I cannot think of any scary movies with Alan Rickman. Thursday sucks. ,-1
6392,26380,thanks to the radio at work I'm all depressed now with it playing JASON ALDEAN then house of the rising sun. Fighting with your BFF sucks ,1
5132,32480,"ACT Tomorrow, then spending the day with my hunny <3 ",1
12957,11176,I may be the odd man out on this but I don\u2019t get all the buzz on this Kendrick Lamar. Decent I guess\u002c but not stellar. ,-1
10423,29849,@user 15th august.The anthem still chokes me up.The flag still makes me proud.Gandhi still looks over us.happy Independence day INDIA ,1
7073,6915,If you would have told 7th grade Eleni that I would go see one direction in America without Zayn.. I'd probably think that you were lying ,1
13304,13432,Yoga before the sun is up. Hopefully I can get this going everyday. I'm too much of a night owl for this shit ,-1
8777,11387,"Revealed: Arsenal's most injured XI, four players still in the squad via @user ",1
6043,3139," Sun is shining, the weather is sweet... (Bob Marley) ",1
9308,30627,"@user Verlander is possibly ahead of CC, more SOs better ERA, but CC will bounce back after last night's outing like he always does ",1
17043,37630,"Dear Naked Cyclists, I will not support your campaign if you are putting your sweaty bits on Boris Bikes! ",-1
5415,13796,Had a dream last night that EJ started Sunday against the Vikings and threw for over 400 yards and 5 TDs...a man can dream right? ,1
6586,58154,in the mean time\u002c check out this soundcloud mix from a DJ im seeing at a day party on Saturday\u002c 12-12\u002c Amsterdam livin ,1
1616,6697,@user 25th of July. 7PM at Volstead (it\u2019s a bar). Can you MC for a Quiz Night? ,1
19357,50175,@user It seems even Nobel prize is for sale. Amartya Sen then and Bob Dylan  now ,-1
8130,25298,@user and im seeing Ed live this Saturday at b'ham NIA! It would be amazing to get the book signed. Thanks for putting it together ,1
14867,23564,Espanyol keeps on struggeling: 19th in La Liga & losing the Copa del Rey against Sevilla in de last ten minutes \u201983 and \u201993 (3-1). ,-1
5550,35561,Tomorrow is my last day waking up at 5:30 in the morning to work at Dunkin and I couldn't be happier ,1
6317,48920,"I liked a @user video from @user Google Earth VR Gameplay - ""WHERE IN THE WORLD IS GENNYB?!?"" - Let's ",1
14980,24211,@user rubbish those who kill innocent are going hell simple. 2nd highest population of Jews in ME live in Iran after isreal ,-1
18024,43849,going back to gay ass morton tomorrow ,-1
22020,57076,Today couldn't get much better - a pinterest recipe that worked out and #Westworld. A perfect Sunday. ,-1
20220,52489,"@user @user @user @user @user And yes, your extremist gun control is designed to kill families, children... ",-1
2888,39927,The 49 car will return to Eldora Speedway this Friday and Saturday for the Kings Royal weekend.. Come out and... ,1
1171,57380,@user well make sure they are good then we be gucci I may have one ,1
9255,21940,Put it like this craigs gf on Friday looked ghetto with her braids but Janet Jackson in poetic justice didn't ,1
12199,6497,@user That's why Obama's personal records are sealed by an Executive order.  Only the guilty party take the 5th. ,-1
8477,5543,Happy Labor Day @user and @user Hope you enjoy baby Murray's 1st Labor day. Much Love to yall and baby Murray ,1
3835,9379,#MEDIA #US #ru Klitschko is big hit with Ukrainian voters: KIEV (AFP) - Ukraine prepared Saturday... #EU #UK #Obama ,1
13402,14170,The interview with Trump and Sarah Palin hurt my soul. I may have lost brain cells. ,-1
12376,7524,"Why is the David Beckham so positive about the England team, we are shite if we don't hit 8/9 on Sat then that is disgraceful set of cretins ",-1
15964,30725,my sister just sat up and asked where katie was going to sleep. she is a little too old for an imaginary friend\u002c don\u2019t ya think? ,-1
12330,7298,Who all fuckin with twilight tonight ?? ,-1
17284,39283,.@realDonaldTrump Katy perry may have married Russell Brand but at least she doesn't have a wig made out of straw you fuckin jamoke ,-1
14178,19030,@user hiya! sorry for missing out on the WE! there's Antonio Carluccio giving a talk on Friday: fancy going? ,-1
13901,17277,ok so everyone who thinks its 'InternationalDirectionerDay' .. your wrong Directioners Day is 23rd of july the day they were formed! smh... ,-1
6293,47406,One week until Panto rehearsals begin!! So excited!! 🎄👸🏻 #BeautyAndTheBeast #lowestoft @user @user ,1
4284,29243,Steve Bruce will overlook his returning internationals if they show signs of fatigue ahead of Hull City's clash with Arsenal on Saturday. ,1
13039,11790,and now I do see it\u2019s up. I\u2019ll blame it on a case of the Mondays. Creighton picked to win WBB\u002c SIU picked to finish 8th ahead of Drake\u002c UE ,-1
18318,45757,@user @user #Hamas took over ruling #Gaza after #Israel withdrew from #Gaza in 2005 and uprooted Jewish communities there. ,-1
11236,420,"Regarding his Twitter, Hulk Hogan is not doing himself any favors by saying anything w/o running it through a good p.r. team and lawyer 1st. ",-1
8824,8339,FM Preview: Derby County v Burnley 22 Sep 2012: FootyMad attempt to assist you with their form guide as Derby Co... ,1
8521,57497,"More confusion from Francis, the First Merciful Pope ",1
4146,13207,Caught up on True Blood!! I love it... Now time for bed! Night peeps.. be safe tonight :)!!! ,1
16874,36472,Josh Hamilton rejoined the Rangers n an effort to overcome his struggle w/ addiction. Angels fans just booed him in 1st game back. #pathetic ,-1
13736,16251,"Reason y shdnt discuss religion is I may make u hate Pak, but if I made u hate Islam, then i do a bigger sin @user @user ",-1
18568,47177,"@user @user @user  Globalism, multiculturalism  and political correctness are just fancy names for communism #UnitedNations ",-1
22178,58124,Deron just put me on punishment becuz I said I may be sleep by the time he may head to Rhons ,-1
13619,15592,Kane may have raped a woman &amp; the 1st thought teams have is about trading for him? Fucked up. ,-1
7647,34311,just sat here thinking about liam and louis changing their world the whole world ,1
16570,34724,the sun is so stupid they know how much the boys mean to everyone and they knew how hard it was for us when zayn left this is so disgusting ,-1
3325,46599,#OneDirection Story of My Life #Music ,1
11053,48157,Help your support for Uber in Maryland #Uber ,1
1382,37741,@user you are right to identify a variety of intentions. A variety of intentions may still be fully compatible for Christians. ,1
16681,35334,@user it'll be a cold day in hell before you got me anywhere near that Sunday line up. I'd rather see the Foo Fighters. ,-1
22312,58994,@user  #isitok that idiocracy may actually happen with kanye west going for president ,-1
15019,24506,@user I\u2019m not watch today :(\u002c but my friday going to be just for TVD ,-1
3747,30901,FM Preview: West Bromwich Albion v Aston Villa 28 Apr 2012 - FootyMad attempt to assist you with their form guide as... ,1
17985,43611,Sam Smith may have his fans but they certainly aren't the type of people that would watch Bond. What the hell have they done #SPECTRE ,-1
17079,37860,Fuck you\u002c band that covered it on Friday night\u002c and fuck you Ricky Martin for existing in the first place you big jerk. ,-1
9010,54400,"@user So the fact that your grandparents where anti-fascists makes your ""lugenpresse""-husband less of a nazi? Amazing logic ",1
11855,4411,Dress up like Hulk Hogan on #WWERaw Monday and then security will usher you to a room and make you watch #TheMarine4. #WWE   Use your head. ,-1
3933,18325,Monday Final Ratings: 'The Voice' &amp; 'Dancing With the Stars' Adjusted Up; 'The Big Bang Theory' &amp; 'Castle' Adj... ,1
14353,20181,"DTN USA: Charlie Sheen's 'winning' ways get roasted: He may have looked like he was \""winning,\"" but actor C... ",-1
15346,26731,"Why do Christians support Jews and Israel? The 3rd Temple will not be built on the MOUNT, instead in the PRESENCE of G-d at the WALL;) ",-1
15014,24433,"Sooo just seen somewhere that Kanye west wants to run for president, I sincerely hope that's just an extremely late April fools.... ",-1
6030,42882,Isco and Khedira to be sold in January in order to make room for Marco Reus. Dortmund willing to cash in before his contract expires ,1
